,Country,Lat,Long,Population,GrowthRate,Area,Density,Airports,GDP
107,Malaysia,2.5,112.5,31949.777,1.013,330803.0,96.5825,40.0,1064795.0
108,Maldives,3.2028,73.2207,530.953,1.0181,300.0,1769.8433,11.0,7839.0
109,Mali,17.570692,-3.996166000000001,19658.031,1.0302,1240192.0,15.8508,9.0,48443.0
110,Malta,35.9375,14.3754,440.372,1.0027,316.0,1393.5823,2.0,22496.0
111,Mauritania,21.0079,10.9408,4525.696,1.0274,1030700.0,4.3909,11.0,25109.0
112,Mauritius,-20.2,57.5,1269.668,1.0017,2040.0,622.3863,2.0,29631.0
113,Mexico,23.6345,-102.5528,127575.529,1.0106,1964375.0,64.9446,84.0,2458339.0
114,Moldova,47.4116,28.3699,4043.263,0.9977,33846.0,119.4606,5.0,26642.0
115,Monaco,43.7333,7.4167,,,,,,
116,Mongolia,46.8625,103.8467,3225.167,1.0165,1564110.0,2.062,13.0,46550.0
117,Montenegro,42.5,19.3,627.987,1.0001,13812.0,45.4668,2.0,11549.0
118,Morocco,31.7917,-7.0926,36471.769,1.012,446550.0,81.6745,22.0,317001.0
119,Mozambique,-18.665695,35.529562,30366.036,1.0293,801590.0,37.8823,19.0,45990.0
120,Namibia,-22.9576,18.4904,2494.53,1.0186,825615.0,3.0214,18.0,26261.0
121,Nepal,28.1667,84.25,28608.71,1.0185,147181.0,194.3777,34.0,97365.0
122,Netherlands,21.40834,-53.00556,17097.13,1.0022,41850.0,408.5336,26.0,935911.0
123,New Zealand,-40.9006,174.886,4783.063,1.0082,270467.0,17.6845,60.0,194919.0
124,Nicaragua,12.8654,-85.2072,6545.502,1.0121,130373.0,50.206,13.0,32991.0
125,Niger,17.6078,8.0817,23310.715,1.0384,1267000.0,18.3984,7.0,35211.0
126,Nigeria,9.082,8.6753,200963.599,1.0258,923768.0,217.5477,28.0,1181399.0
127,North Macedonia,41.6086,21.7453,2083.459,1.0,25713.0,81.0275,2.0,33517.0
128,Norway,60.472,8.4689,5378.857,1.0079,323802.0,16.6116,63.0,384298.0
129,Oman,21.0,57.0,4974.986,1.0265,309500.0,16.0743,8.0,200203.0
130,Pakistan,30.3753,69.3451,216565.318,1.02,881912.0,245.5634,54.0,1190555.0
131,Panama,8.538,-80.7821,4246.439,1.0161,75417.0,56.3061,13.0,110399.0
132,Papua New Guinea,-6.315,143.9555,8776.109,1.0195,462840.0,18.9614,35.0,34502.0
133,Paraguay,-23.4425,-58.4438,7044.636,1.0125,406752.0,17.3192,9.0,95949.0
134,Peru,-9.19,-75.0152,32510.453,1.0142,1285216.0,25.2957,43.0,457320.0
135,Philippines,13.0,122.0,108116.615,1.0135,342353.0,315.8045,71.0,1040413.0
136,Poland,51.9194,19.1451,37887.768,0.9989,312679.0,121.1715,41.0,1236132.0
137,Portugal,39.3999,-8.2245,10226.187,0.9971,92090.0,111.0456,35.0,321199.0
